"score","review","y",""
"1","","0","장인닭갈비 강남점"
"2","네, 나오자마자 찍은 사진 맞고요. 분명히 2인분 시켰는데 왜 1인분도 안되는 양이 나온 거죠?! 심지어 재료는 닭고기랑 양배추밖에 안 들어가 있어요.. 닭갈비는 양파, 파, 고구마 이런거 들어가야 하는 거 아닌가요? 밥 먹는데 남자친구 표정이 너무 안좋아서 먹다 체했어요.. 식당 이름이 장인닭갈비던데 요리장인은 절대 아니고 다이어트 장인인가 봐요. 유가네...","0",""
"1","친절은 기대도 하지 마세요....진짜 말을 어덯게....화가 나네요","0",""
"1","돈이 너무 많아서 주체가 안 되면 가세요.... 고기에서 반지하 물 냄새, 닭냄새가 섞인 냄새가 남 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 먹는데 비위가 상해......소스도 전혀 안 배어있음. 치즈사리는 2인 4천원/ 3인 5천원/ 4인 6천원 이런 식으로 받아먹음 ㅎ","0",""
"1","다른데 1인분이 여기 2인분임 ㅋㅋ 가격도 비싸고 알바생들 노느라 서비스 엉망임. 제대로 조율해주는 매니저도 없고 닭갈비 나오는데 23분, 볶음밥 하나 하는데 15분씩 기다려야함. 주문했는데 알바생들끼리 준비안하고 떠들고있어서 밥 볶아달라니까 재료준비중이라고만 반복함. 김치 날치알 밥 김가루가 15분이나 준비해야하는 재료였는지 몰랐네 주방에 일하는분들 다 ...","0",""
"1","옛날에 장인닭갈비 정말 맛있었는데ㅠ 이제는 닭도 덜 익은데다가 양념도 너무 과하게 달고 치즈추가도 했음에도 불구하고 너무 적게 줍니다…  닭이 덜 익어서 그런지 비린내가 너무 심합니다.. 초심 되찾아주세요;;","0",""
"1","초심잃었습니다..  제가알던 장인은 어디가고 아마추어 닭갈비가 되어버린 안타까운 식사였습니다.  다른 닭갈비집 가세요  이만","0",""
"4","가격대비 양이 많지는 않음. 친구가 가운데 치즈 때문에 가자고 했는데 괜찮았다. 막 특색이 있다는 아닌데 볶음밥이 맛있다. 기름에 볶아진 느낌이 아닌데 약간 달달하니 손이 계속 갔다. 무슨 봉봉인지 뭐시기 음료 절대 비추","1",""
"3","","0",""
"4","","1",""
"5","여자친구와 치즈 닭갈비를 잘 먹었어요. 넘 배불러서 볶음밥까진 못 먹었어요 ㅋㅋ","1",""
"4","닭갈비만 먹었을 땐 3점이었는데, 볶음밥까지 먹고 4점 드립니다. 볶음밥 꼭 드세요!  중간맛으로 먹었는데 적당히 매콤하고 치즈에 양파랑 같이 먹으니 괜찮았습니다. 순한맛으로 먹었으면 좀 많이 싱거웠을 것 같아요.  엄청 뛰어난 맛과 서비스를 기대하긴 힘들겠지만.. 위치 좋고, 비주얼 좋고, 적당히 호불호 안 갈리게 한 끼 먹기 괜찮습니다. ","1",""
"3","맛있게 먹긴했으나... 단맛이 너무 강해서 별5개는 아니라고 보임","0",""
"5","맛있는데 단맛이 좀 강함","1",""
"4","치즈 플레이팅?이 예쁘게 돼서 유명한 것 같은데 맛은 아무 닭갈비집이랑 차이는 없다. 가격만 좀 더 높을 뿐.","1",""
"4","생각보다 맛있었어요 양도 적당. 볶음밥 굿","1",""
"4","","1",""
"5","가성비 진짜 최고~  닭갈비에 무조건 치즈사리 추가!! 마지막 볶음밥까지~ 한끼식사로 충분해요~","1",""
"1","평일 오후타임 일하는 여자알바분 개념은 밥 말아먹으셨나봐요? 앉을 자리 보고 qr체크인 한다고 말했더니 짝다리 짚고 서서 노려보면서 qr찍으라고 소리치고, 벨누르는데 직원끼리 모여앉아서 노느라 보는 시늉도 안하고, 영수증에 금액 두배로 찍혀있어서 말했더니 사과한마디도 안하고. 가본 식당중에 단연 서비스 최악이었습니다. 장사할거면 직원교육부터 똑바로 시키시길...","0",""
"3","","0",""
"5","여기는 무조건 치즈 추가 필수 줄여서 치추필 기억하세요 치추필 뭐라고요 치추필","1",""
"5","치즈닭갈비 너무맛있어요 ㅠㅠ 깔끔하고 좋아요 ","1",""
"5","동네에 체인점 있었을 때 맛있어서 많이 갔었는데~~! 지금은 없어졌지만 강남 들른김에 생각나서 방문했네요. 여전히 맛은 그대로 입니다 ","1",""
"5","양 많고 맛있네요~!","1",""
"5","닭갈비 양도 많고 맛있어요!","1",""
"1","16일 토요일 12시 30분 예약이었고 카운터에 계신 남자분한테 예약자 이름 말씀드리니 4번이라고 해서 갔더니 4번 방에 다른 손님들이 계심 당황해서 홀에 있는 다른 직원분한테 여쭤보니 2번이라고 하셔서 가보니 또 아님;진짜 개판이에요 아래 리뷰분들처럼 벨 3번 무시에다가  12시 30분-13:30 근무하고 계시는 고기 자르는 중년 여자분 고기 자르면서 마...","0",""
"4","된찌밥이 진짜 별미","1",""
"2","이 가격이라면 맛 없을 수는 없겠지만 기대보다는 그닥..ㅠㅠ다른 지점에서는 분명 더 맛있게 먹었는데 구워주시는 분에 따라 차이가 있는 걸까요..","0",""
"1","살다살다 이런 가게는 처음입니다. 사고 쳐놓고 직원끼리 작당모의 하고 아무일 없는 척 일하는 분들. 매니저는 가식적으로 다음에 오면 서비스 해드릴게요 하는가게. 옛날 창고 생각하고 가시지 않길 바랍니다. 유명 프랜차이즈에 인수된 가게에 불과합니다","0",""
"1","두번 가지는 않을것 후기대로 직원들 싸가지 없음 벨무시 기본 메뉴판 달라니까 불친절하게 저뒤에 있잖아요  내가 이집 주인이냐! 저뒤에 있는줄 알게!!! 다신 안간다 ","0",""
"1","벨 무시당함 지나가는 직원한테 고기꿔달라고 말해야함. 언제먹으라는 말도 없이 그냥 휙 가버림  이 돈주고 이 서비스를 당해야하나","0",""
"2","불친절, 반찬이 특색없음   특히 깍두기볶음밥 최악  물냉은 그나마 먹을만  담부턴 경천애인이나 한와담 가야지","0",""
"4","","1",""
"4","룸에서 모임하기 좋아요.","1",""
"5","너무 조치 룸도 잇고 근데 환기가 안됨 ㅠ 그리고 카운터 남자분 일 똑바로 햇으면 ㅠ 싸1가지 진짜 가정교육 된장찌개에 밥말아먹엇나","1",""
"2","여기올때마다느끼는거지만 카운터 직원, 맨앞에서 자리응대하는직원 참 불친절... 말풍선 다보인다. 말하는게 기본이 안된듯","0",""
"5","","1",""
"2","바닥이 너무 미끌거림..  파채는 도끼로 써는듯","0",""
"4","친구들과 즐겁게 식사하고 왔어요. 룸도 있어서 룸에서 먹으니 좋네요!","1",""
"5","","1",""
"1","원래 리뷰 아예안쓰는데 처음 씁니다.  오랜만에 왔는데 서비스는 개나 줘버리고 고기올려놓고 까먹은건지 뭔지 오지도 않고 이게 소고기인지 고무씹는건지 모르겠네요. 맛있다고 지인 데려왔는데 다신 안올거같아요 만원짜리 삼겹살집이 더 나았을듯 ","0",""
"1","아니 고기 몇만원어치를 먹는데 계속 안구워주고 벨을 눌러도 묵묵 부답 진짜 비싼값내고 먹는데 짜증나 죽을뻔함","0",""
"1","","0",""
"3","왠지 모르지만 맛의 기복이 있어요 그리고 나갈 때쯤이면 거의 훈제인간 됨","0",""
"2","호불호가 확실히 갈릴 거 같아요","0",""
"3","","0",""
"2","후식도있었나요? 못먹음 (디너) 창고43스페셜","0",""
"4","","1",""
"4","고기질 좋고 잘 구워줌. 가격은 비싼 편.  (1인당 16.7만 지불)","1",""
"4","","1",""
"5","","1",""
"5","존맛탱. 양 적고 비싸지만 돈 값합니다. 두꺼운 삼겹살 유행이지만 그 중에서도 뛰어난 맛입니다. 직원들도 친절하십니다. 괜히 사람이 많은 게 아님!!! 재방문의사 200%. 오래오래 다니고싶은 집.","1",""
"5","가격이 좀 비싸지만 통통하고 넘나 맛있어요,, 양 적어서 3명이서 6인분은 먹어줘야해요 직원분들 친절해요","1",""
"4","","1",""
"4","목살, 삼겹살 먹었는데 첫 한점은 정말 맛있는데 나중갈수록 퍽퍽해서 아쉬웠어요ㅜㅠ 남자친구가 강추해서 같이 간 곳인데 고기 구워주시는 직원분에 따라서 고기 맛이 달라지는 거 같아요~ 비빔냉면도 맛있었습니다~","1",""
"5","맛잇어요!̤̮","1",""
"4","맛있게 잘 먹었습니다","1",""
"5","","1",""
"4","입에서 살살 녹아요.ㅎㅎ","1",""
"4","고기맛이 끝내줘요~~","1",""
"4","맛있어요","1",""
"4","육전식당 신설동 본점도 자주 갔는데 강남에도 있길래 방문함. 기대가 너무 컸나 다들 맛나게 먹었지만 부족했음… 많이 시끄러워 대화하는데 목이 아팠다. 고기맛은 여전히 굿. ","1",""
"3","오늘은 삼겹살이 질겼어요 목살은 겉바속촉이었는데 삼겹살 살코기 질김 무슨 일이죠? 원래 육즙팡팡 부드럽게 녹았잖아요 고기 상태 신경써주세요... 지인에게 자신있게 소개한 곳이었는데 아쉬운 자리였네요ㅠㅠ","0",""
"5","맛있음","1",""
"5","목살도 존맛 삼겹살은 대존맛 사진 왜 못찍었을까 나","1",""
"1","","0",""
"5","고기 자체가 맛있네요!!! 소금 갈치젓 다 맛있어요!","1",""
"5","","1",""
"4","맛잇으느 비싸다으","1",""
"5","친절하고 너무 맛있었어요. 고기도 진짜 맛잇게 구워주시고..  근데 볶음밥은 진짜 별로에요. 비싼데 맛이없어요.. 고기많이드세요","1",""
